Timestamp,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Dietary Restrictions,Feedback
10/19/2024 5:33:07,2,,,,1,1,,,,3,Vegetarian,Please include more vegetarian options. Only parfaits sandwiches are a secondary option for us to eat if the main lunch is gone. 
10/19/2024 5:39:08,5,2,5,4,4,2,4,1,2,5,"Lactose Intolerant, Dairy Free",
10/19/2024 5:58:34,2,3,3,1,1,1,1,1,1,2,None,BRING CHOCOLATE MILK BACK
10/19/2024 7:58:07,3,1,1,1,4,1,1,5,2,1,None,
10/19/2024 8:17:31,5,4,4,3,4,4,3,2,1,4,None,
10/19/2024 9:31:24,1,1,1,1,1,1,1,1,1,1,Pork Free foods ,Not sure if I missed it but no where does the survey explain what the number scale means. I assumed 1 is worst and 5 is best?
10/19/2024 9:48:44,3,5,3,5,4,3,3,3,5,5,"Food Allergies (Nuts, Fish/Shellfish, Eggs, Soy, etc)",cheeseburgers and chicken sandwich are yum
10/19/2024 10:11:48,4,1,4,1,4,4,1,1,1,2,"None, Dairy Free",
10/19/2024 10:55:17,3,1,1,1,4,1,1,1,1,3,Vegetarian,
10/19/2024 11:46:20,3,,,,4,1,,,,4,Vegetarian,Better vegetarian options bc most of it is just salads bread and cheese 
10/19/2024 12:11:29,3,5,2,3,2,1,3,3,4,4,None,
10/19/2024 12:58:39,3,,,,5,1,,,,4,Vegetarian,N/A
10/19/2024 13:09:46,5,5,5,5,2,3,3,1,1,4,,
10/19/2024 14:14:08,5,1,1,1,4,4,1,1,1,5,Vegetarian,
10/19/2024 14:43:59,3,2,3,4,4,3,5,4,5,2,None,"I like how we have a wider selection of meals coming in as a Freshman. The school lunch here is definitely better than my middle school lunch, but I just wish some of the bread wasn't still so dry, which makes it look clearly like it was microwaved. Also, my favorite lunch item would be Bosco Sticks."
10/19/2024 20:03:12,4,,,,2,1,,,,3,Vegetarian,Less sodium in the meals
10/19/2024 20:34:25,3,3,3,3,4,3,2,4,2,4,None,
10/19/2024 23:52:18,5,4,4,3,3,,,2,1,3,None,
10/20/2024 1:03:17,5,2,4,2,3,1,1,1,1,5,None,
10/20/2024 10:36:23,3,2,3,2,2,2,2,1,2,2,None,
10/20/2024 11:51:47,,,,,2,2,,2,,1,None,
10/20/2024 12:47:42,,,,,,,,,,,"Vegetarian, Gluten-free, Gluten Free, Food Allergies (Nuts, Fish/Shellfish, Eggs, Soy, etc), Low carb, clean ingredients, no artificial colors","You can make sure the meals have no artificial colors, are friendly to gluten-free and vegetarian people, there are meals with no soy, and that there are low carb meals."
10/20/2024 13:49:06,2,1,3,4,,,,,4,2,None,
10/20/2024 15:20:43,5,1,3,1,4,3,1,1,1,5,Vegetarian,
10/20/2024 16:33:53,3,1,1,1,2,1,1,1,1,4,Vegetarian,Maybe include mixed nuts.
10/20/2024 17:05:30,1,5,1,1,1,1,3,3,2,1,None,"Roast chicken is so good that I feel like I could live to be 120 years old after every meal. If I could get married to food, I would definitely choose roast chicken"
10/20/2024 17:12:02,1,1,4,4,1,1,1,1,1,1,None,"The roast chicken is really delicious, but the portion is small!!! I hope to give one more."
10/20/2024 17:58:34,1,1,2,1,2,1,1,1,1,1,None,More lines and quality food. Less food waste
10/20/2024 21:06:13,1,4,2,1,2,1,2,1,1,4,None,
10/20/2024 21:44:57,3,3,3,2,2,2,3,2,3,3,None,
10/20/2024 22:40:56,4,2,2,2,4,1,1,1,1,2,"Food Allergies (Nuts, Fish/Shellfish, Eggs, Soy, etc)",
10/21/2024 7:08:00,3,,,,1,3,,,,,Vegetarian,Add more vegetarian items
10/21/2024 7:32:23,3,2,2,2,3,2,3,3,4,4,None,
10/21/2024 8:18:31,3,4,4,,5,4,4,5,,4,None,
10/21/2024 8:47:56,3,4,3,3,3,3,2,3,3,4,,
10/21/2024 8:54:57,5,,5,4,5,5,,,3,4,None,
10/21/2024 9:02:45,5,5,5,5,1,3,3,2,2,4,None,
10/21/2024 10:19:40,3,4,3,,4,,5,,,5,None,"maybe make the trash can's can to the recycling bin bigger because the containers that the salads come in don't fit in there, so a bunch of plastic just goes to the trash can instead lol"
10/21/2024 11:10:30,5,1,4,2,1,5,4,1,1,1,Lactose Intolerant,"A lot of people prefer the apple slices over the whole apples. Also, when are the other sandwich options coming back? Beef and cheese is good but the others were good too and had more vegetables."
10/21/2024 12:20:59,4,,,,,1,,,,5,None,
10/21/2024 16:06:22,2,1,2,1,3,1,1,1,1,3,None,
10/21/2024 16:06:53,2,2,1,1,2,1,1,1,1,4,None,Need a new menu
